iter	MultiQuantile:alpha=1.49e-12,8.39e-09,4.02e-07,4.77e-06,2.88e-05,0.000117,0.000364,0.000938,0.0021,0.00422,0.00778,0.0133,0.0215,0.033,0.0484,0.0684,0.0935,0.124,0.16,0.201,0.247,0.298,0.353,0.411,0.47,0.53,0.589,0.647,0.702,0.753,0.799,0.84,0.876,0.907,0.932,0.952,0.967,0.978,0.987,0.992,0.996,0.998,0.999,1,1,1,1,1,1,1
0	29545.35972
1	28717.98062
2	27925.92446
3	27188.09111
4	26464.62808
5	25735.26117
6	25064.00403
7	24400.95455
8	23762.63627
9	23128.39667
10	22531.72424
11	21946.21453
12	21378.6702
13	20834.52481
14	20296.20374
15	19764.87062
16	19267.95765
17	18764.06339
18	18266.84215
19	17801.5867
20	17352.04483
21	16918.01642
22	16504.73043
23	16089.36641
24	15683.19636
25	15288.38843
26	14924.81813
27	14573.83367
28	14228.26516
29	13879.47258
30	13544.20541
31	13217.68083
32	12899.87588
33	12611.88802
34	12313.85373
35	12034.02516
36	11768.22293
37	11519.20955
38	11271.20741
39	11024.70171
40	10776.76671
41	10539.76637
42	10313.09505
43	10099.38818
44	9890.487756
45	9678.943532
46	9469.690773
47	9274.989087
48	9088.251589
49	8911.067541
50	8734.393837
51	8567.694532
52	8397.308758
53	8239.494466
54	8093.279777
55	7943.202946
56	7805.807425
57	7682.591308
58	7551.99585
59	7421.939232
60	7311.003088
61	7187.975891
62	7078.501044
63	6971.13875
64	6860.346263
65	6781.838937
66	6689.613722
67	6585.373676
68	6493.778521
69	6399.066176
70	6305.753316
71	6228.031103
72	6147.282766
73	6067.421033
74	5990.508743
75	5910.909881
76	5840.254496
77	5761.856598
78	5687.06896
79	5618.042251
80	5556.33615
81	5490.954296
82	5432.438542
83	5377.170851
84	5322.989803
85	5263.99077
86	5212.557875
87	5161.465172
88	5111.32015
89	5068.70351
90	5017.185838
91	4972.241491
92	4943.4497
93	4905.918211
94	4864.206312
95	4827.359405
96	4797.011976
97	4758.437785
98	4722.312564
99	4685.26843
100	4651.370177
101	4619.527969
102	4586.987219
103	4568.969154
104	4541.199323
105	4518.692846
106	4492.295341
107	4466.626614
108	4444.368862
109	4419.128279
110	4402.664903
111	4387.222622
112	4367.560615
113	4345.846902
114	4324.732584
115	4311.616837
116	4290.825
117	4270.084597
118	4252.273006
119	4239.562351
120	4220.093947
121	4203.115542
122	4181.423363
123	4162.837275
124	4143.954985
125	4130.828502
126	4115.337033
127	4093.091193
128	4077.273785
129	4061.368905
130	4042.112796
131	4036.404041
132	4024.462694
133	4011.961729
134	4000.38313
135	3984.920352
136	3973.537473
137	3959.321025
138	3945.156607
139	3934.395583
140	3915.477509
141	3902.263672
142	3893.490718
143	3880.470393
144	3869.964132
145	3867.417538
146	3858.558391
147	3849.099147
148	3842.110985
149	3832.727875
150	3824.957121
151	3814.86607
152	3804.768942
153	3801.71012
154	3792.359424
155	3783.519761
156	3774.283512
157	3768.877445
158	3763.523265
159	3756.216441
160	3749.276032
161	3745.892863
162	3735.239824
163	3730.359759
164	3722.555289
165	3715.476264
166	3708.349394
167	3700.32904
168	3698.319485
169	3693.912716
170	3686.731187
171	3680.137828
172	3670.777051
173	3664.919403
174	3660.432325
175	3653.887929
176	3647.30887
177	3643.464377
178	3638.046711
179	3632.27388
180	3628.234438
181	3623.633144
182	3618.855171
183	3612.448998
184	3605.069279
185	3599.705361
186	3593.244935
187	3588.607427
188	3587.208942
189	3584.189883
190	3579.310189
191	3573.000369
192	3569.87322
193	3564.751014
194	3558.989266
195	3553.611911
196	3548.863054
197	3544.597077
198	3540.327454
199	3534.220037
200	3529.451665
201	3525.939411
202	3522.367032
203	3515.884286
204	3511.623709
205	3501.595756
206	3496.208224
207	3494.794705
208	3490.27789
209	3487.516598
210	3484.232743
211	3481.186028
212	3475.511515
213	3469.972818
214	3467.307822
215	3464.020271
216	3458.065835
217	3455.689409
218	3448.669933
219	3445.242487
220	3444.278258
221	3440.41948
222	3436.627241
223	3433.843227
224	3430.929489
225	3427.834338
226	3425.143511
227	3421.009663
228	3418.435623
229	3414.458742
230	3408.243913
231	3407.130664
232	3403.358906
233	3399.766374
234	3393.816629
235	3390.407798
236	3387.178315
237	3383.498524
238	3375.394105
239	3371.745868
