iter	Passed	Remaining
0	111	55650
1	143	35809
2	164	27210
3	191	23708
4	219	21685
5	252	20819
6	278	19626
7	304	18757
8	332	18116
9	354	17350
10	381	16967
11	401	16342
12	419	15730
13	437	15172
14	456	14771
15	475	14386
16	494	14038
17	515	13803
18	535	13562
19	553	13278
20	569	12999
21	588	12785
22	610	12661
23	635	12612
24	659	12527
25	688	12544
26	710	12444
27	735	12405
28	749	12177
29	774	12135
30	795	12031
31	816	11943
32	837	11847
33	849	11637
34	876	11641
35	903	11645
36	930	11638
37	946	11511
38	968	11444
39	992	11418
40	1018	11400
41	1046	11410
42	1092	11608
43	1117	11577
44	1138	11509
45	1158	11432
46	1177	11347
47	1195	11257
48	1215	11188
49	1234	11106
50	1260	11093
51	1286	11084
52	1311	11059
53	1325	10944
54	1340	10845
55	1366	10832
56	1383	10752
57	1392	10613
58	1413	10565
59	1431	10497
60	1440	10368
61	1453	10271
62	1467	10181
63	1485	10120
64	1507	10086
65	1517	9975
66	1528	9875
67	1546	9822
68	1563	9766
69	1583	9728
70	1601	9678
71	1613	9590
72	1630	9537
73	1644	9464
74	1662	9419
75	1690	9433
76	1710	9395
77	1743	9430
78	1777	9475
79	1805	9480
80	1826	9450
81	1846	9413
82	1868	9386
83	1901	9417
84	1934	9446
85	1969	9479
86	2004	9513
87	2029	9502
88	2057	9503
89	2071	9436
90	2097	9429
91	2125	9425
92	2137	9356
93	2163	9345
94	2187	9326
95	2213	9315
96	2225	9247
97	2246	9214
98	2265	9175
99	2283	9135
100	2303	9101
101	2323	9065
102	2342	9027
103	2350	8949
104	2369	8913
105	2381	8852
106	2401	8821
107	2425	8804
108	2451	8795
109	2476	8781
110	2495	8746
111	2518	8723
112	2548	8727
113	2575	8721
114	2598	8699
115	2625	8689
116	2656	8695
117	2676	8665
118	2697	8635
119	2728	8641
120	2760	8644
121	2773	8591
122	2802	8589
123	2826	8569
124	2847	8542
125	2871	8522
126	2894	8500
127	2913	8468
128	2932	8432
129	2953	8407
130	2974	8378
131	2981	8311
132	3000	8278
133	3022	8255
134	3047	8240
135	3073	8225
136	3096	8205
137	3112	8164
138	3141	8158
139	3163	8134
140	3187	8114
141	3212	8098
142	3244	8101
143	3285	8122
144	3325	8142
145	3338	8095
146	3364	8080
147	3398	8082
148	3418	8052
149	3442	8032
150	3465	8009
151	3484	7977
152	3510	7962
153	3522	7913
154	3547	7895
155	3576	7886
156	3600	7866
157	3623	7843
158	3636	7798
159	3657	7772
160	3681	7752
161	3696	7713
162	3720	7691
163	3740	7663
164	3758	7631
165	3781	7609
166	3810	7598
167	3834	7577
168	3842	7525
169	3866	7505
170	3891	7486
171	3908	7453
172	3936	7441
173	3964	7427
174	3987	7404
175	3996	7357
176	4008	7315
177	4035	7299
178	4062	7284
179	4089	7269
180	4113	7249
181	4136	7227
182	4160	7207
183	4184	7186
184	4208	7165
185	4231	7143
186	4254	7121
187	4277	7099
188	4286	7053
189	4307	7028
190	4336	7015
191	4368	7007
192	4389	6981
193	4413	6962
194	4432	6932
195	4460	6918
196	4492	6910
197	4519	6893
198	4539	6865
199	4564	6846
200	4595	6835
201	4623	6821
202	4633	6778
203	4655	6754
204	4690	6749
205	4718	6733
206	4743	6714
207	4763	6687
208	4786	6664
209	4800	6629
210	4831	6617
211	4857	6598
212	4871	6563
213	4891	6537
214	4915	6516
215	4939	6494
216	4971	6483
217	5002	6471
218	5028	6452
219	5051	6429
220	5067	6397
221	5092	6377
222	5129	6371
223	5164	6363
224	5189	6342
225	5209	6315
226	5231	6291
227	5256	6270
228	5278	6246
229	5296	6217
230	5318	6193
231	5330	6158
232	5359	6141
233	5382	6118
234	5406	6097
235	5427	6071
236	5448	6046
237	5466	6017
238	5496	6002
239	5523	5983
240	5544	5958
241	5565	5933
242	5586	5908
243	5608	5884
244	5639	5870
245	5674	5858
246	5707	5846
247	5731	5823
248	5753	5799
249	5775	5775
250	5801	5754
251	5834	5741
252	5862	5723
253	5891	5706
254	5916	5684
255	5942	5664
256	5967	5642
257	5983	5612
258	6007	5590
259	6030	5566
260	6059	5548
261	6091	5533
262	6113	5509
263	6133	5483
264	6156	5459
265	6187	5443
266	6209	5418
267	6232	5395
268	6256	5372
269	6293	5360
270	6315	5336
271	6341	5315
272	6362	5290
273	6382	5264
274	6404	5240
275	6429	5218
276	6449	5192
277	6473	5169
278	6500	5149
279	6528	5129
280	6549	5104
281	6570	5079
282	6590	5053
283	6612	5028
284	6632	5003
285	6652	4977
286	6673	4952
287	6700	4932
288	6730	4913
289	6753	4890
290	6775	4866
291	6797	4842
292	6819	4817
293	6842	4794
294	6872	4775
295	6912	4764
296	6942	4745
297	6964	4721
298	6986	4696
299	7015	4677
300	7045	4658
301	7067	4633
302	7092	4611
303	7115	4587
304	7139	4564
305	7164	4542
306	7190	4520
307	7213	4496
308	7239	4474
309	7267	4454
310	7291	4431
311	7317	4409
312	7342	4386
313	7369	4365
314	7399	4345
315	7435	4329
316	7456	4304
317	7475	4278
318	7495	4253
319	7517	4228
320	7538	4203
321	7556	4177
322	7576	4151
323	7595	4126
324	7616	4101
325	7634	4075
326	7654	4049
327	7674	4024
