iter	MultiQuantile:alpha=1.49e-12,8.39e-09,4.02e-07,4.77e-06,2.88e-05,0.000117,0.000364,0.000938,0.0021,0.00422,0.00778,0.0133,0.0215,0.033,0.0484,0.0684,0.0935,0.124,0.16,0.201,0.247,0.298,0.353,0.411,0.47,0.53,0.589,0.647,0.702,0.753,0.799,0.84,0.876,0.907,0.932,0.952,0.967,0.978,0.987,0.992,0.996,0.998,0.999,1,1,1,1,1,1,1
0	29544.77038
1	28715.15979
2	27920.75003
3	27158.07259
4	26430.50327
5	25704.65262
6	25026.50012
7	24358.70767
8	23694.53124
9	23076.01167
10	22457.2097
11	21861.0171
12	21272.92318
13	20697.40786
14	20158.08104
15	19629.81743
16	19122.32041
17	18621.56968
18	18145.52955
19	17679.50434
20	17224.92707
21	16780.75097
22	16344.25311
23	15936.0397
24	15538.57801
25	15169.10033
26	14784.7722
27	14433.72114
28	14077.93281
29	13740.22003
30	13404.6464
31	13095.98021
32	12785.75808
33	12491.62352
34	12214.58553
35	11940.21929
36	11676.8756
37	11406.25581
38	11164.06575
39	10922.45923
40	10677.3872
41	10459.32402
42	10235.84611
43	10015.41925
44	9810.971516
45	9600.206178
46	9396.665629
47	9212.744655
48	9026.411348
49	8850.244377
50	8681.72227
51	8513.923126
52	8354.966783
53	8191.584336
54	8046.899524
55	7899.175414
56	7755.461948
57	7634.919553
58	7503.644852
59	7368.162577
60	7245.41366
61	7122.009447
62	7010.300061
63	6893.07834
64	6776.844819
65	6675.019528
66	6577.725053
67	6491.25799
68	6422.224838
69	6322.403206
70	6225.733722
71	6148.345434
72	6064.314647
73	5986.373019
74	5905.55065
75	5826.361108
76	5754.875763
77	5687.075989
78	5618.671792
79	5553.592224
80	5509.163586
81	5447.220968
82	5389.843671
83	5332.000522
84	5274.989252
85	5217.577912
86	5162.050709
87	5125.502291
88	5091.062707
89	5051.640349
90	5009.238317
91	4966.835722
92	4926.756875
93	4889.180752
94	4851.434524
95	4812.123157
96	4776.970386
97	4741.911777
98	4708.826057
99	4681.709999
100	4646.336765
101	4617.571769
102	4588.828637
103	4562.243247
104	4537.256569
105	4511.742275
106	4486.652392
107	4462.382418
108	4440.246594
109	4417.818602
110	4401.248307
111	4381.128801
112	4360.292676
113	4339.205281
114	4317.997181
115	4299.2841
116	4282.634805
117	4263.244839
118	4245.626293
119	4230.328641
120	4217.006667
121	4201.95991
122	4178.667357
123	4165.846996
124	4152.782616
125	4139.381959
126	4120.458723
127	4107.410534
128	4091.493368
129	4079.036668
130	4064.019411
131	4050.669443
132	4038.509568
133	4024.970643
134	4011.091481
135	3996.457215
136	3984.587572
137	3973.167225
138	3961.54457
139	3949.047269
140	3942.687956
141	3928.931544
142	3918.421947
143	3908.815553
144	3892.713471
145	3881.758324
146	3876.175077
147	3864.33575
148	3855.114861
149	3846.017161
150	3836.548069
151	3831.856243
152	3826.256669
153	3818.578204
154	3809.415954
155	3800.633969
156	3790.919328
157	3787.726191
158	3780.476501
159	3770.274413
160	3761.535829
161	3754.333058
162	3749.084545
163	3740.766101
164	3735.176959
165	3732.972438
166	3725.087484
167	3718.900335
168	3708.938891
169	3708.36368
170	3696.340654
171	3691.047663
172	3686.466863
173	3679.558529
174	3672.487457
175	3665.536357
176	3659.35332
177	3652.710173
178	3647.313063
179	3644.118711
180	3639.705059
181	3632.090013
182	3630.239781
183	3627.57709
184	3621.426525
185	3616.550511
186	3612.523436
187	3606.004159
188	3598.770255
189	3596.861956
190	3592.978196
191	3587.374643
192	3580.694658
193	3577.650074
194	3570.896568
195	3569.333934
196	3565.493384
197	3557.046605
198	3551.521278
199	3547.734694
200	3541.707516
201	3540.166687
202	3535.700663
203	3532.238734
204	3529.279702
205	3523.176331
206	3518.422745
207	3513.546941
208	3508.708725
209	3503.484407
210	3499.100711
211	3497.520325
212	3490.810034
213	3487.932512
214	3482.863136
215	3480.419447
216	3474.502444
217	3471.377075
218	3466.892229
219	3460.035397
220	3453.938719
221	3451.619962
222	3447.283176
223	3444.781955
224	3438.266161
225	3435.657703
226	3433.157757
227	3428.88596
228	3426.608908
229	3424.574661
230	3421.513357
231	3417.677001
232	3415.681363
233	3412.731546
234	3409.190774
235	3405.48022
236	3402.109221
237	3398.109963
238	3397.455387
239	3394.522081
240	3392.560554
241	3390.28854
242	3390.166317
243	3387.990366
244	3385.969677
245	3378.292799
246	3373.235595
247	3371.188153
248	3368.470677
249	3366.622779
250	3363.766476
251	3361.286225
252	3359.8243
253	3358.837929
254	3357.772266
255	3355.90195
256	3353.794292
257	3352.134649
258	3348.761046
259	3344.155026
260	3341.005304
261	3337.688745
262	3336.080748
263	3332.897977
264	3326.689703
265	3325.910708
266	3322.438696
267	3316.999476
268	3315.887861
269	3312.700097
270	3312.133649
271	3309.62917
272	3305.262153
273	3302.088586
274	3298.66807
275	3295.728423
276	3292.776437
277	3291.577967
278	3291.325001
279	3289.609312
280	3288.182142
281	3285.041353
282	3281.495011
283	3277.814052
284	3275.164322
285	3270.112749
286	3268.229251
287	3266.561124
288	3264.406592
289	3262.025308
290	3258.776435
291	3257.24375
292	3254.914789
293	3253.013952
294	3250.46508
295	3248.77675
296	3245.341103
297	3243.606774
298	3239.314683
299	3236.679596
300	3232.327827
301	3230.938426
302	3228.483482
303	3226.424886
304	3223.356574
305	3221.122224
306	3215.612903
307	3211.46213
308	3209.979864
309	3208.2657
310	3206.008087
311	3203.456701
312	3201.18173
313	3198.568047
314	3196.564721
315	3195.173019
