iter	Passed	Remaining
0	44	44938
1	73	36702
2	96	31924
3	123	30700
4	149	29765
5	175	29083
6	202	28707
7	232	28782
8	260	28708
9	301	29841
10	327	29469
11	350	28887
12	370	28156
13	388	27392
14	406	26699
15	424	26105
16	442	25614
17	466	25460
18	491	25361
19	511	25050
20	534	24934
21	563	25048
22	591	25129
23	612	24896
24	637	24875
25	662	24800
26	682	24596
27	694	24096
28	711	23815
29	726	23485
30	744	23259
31	761	23021
32	779	22853
33	796	22640
34	817	22551
35	838	22457
36	864	22490
37	884	22398
38	899	22161
39	927	22268
40	950	22238
41	977	22307
42	1003	22334
43	1023	22248
44	1041	22093
45	1057	21921
46	1074	21791
47	1092	21676
48	1111	21581
49	1136	21584
50	1152	21438
51	1174	21403
52	1203	21503
53	1238	21702
54	1271	21848
55	1294	21827
56	1316	21782
57	1326	21541
58	1343	21435
59	1363	21360
60	1380	21255
61	1398	21153
62	1407	20939
63	1427	20870
64	1445	20788
65	1462	20700
66	1480	20620
67	1491	20437
68	1499	20232
69	1519	20190
70	1537	20112
71	1554	20032
72	1570	19947
73	1589	19891
74	1608	19843
75	1634	19869
76	1661	19914
77	1679	19852
78	1701	19832
79	1729	19888
80	1740	19743
81	1766	19781
82	1784	19713
83	1810	19747
84	1832	19725
85	1850	19661
86	1867	19602
87	1879	19480
88	1888	19327
89	1896	19178
90	1908	19066
91	1927	19021
92	1944	18965
93	1955	18852
94	1975	18814
95	1992	18760
96	2011	18725
97	2030	18689
98	2050	18657
99	2071	18647
100	2100	18695
101	2128	18739
102	2144	18673
103	2174	18733
104	2186	18634
105	2210	18640
106	2241	18709
107	2265	18715
108	2281	18651
109	2300	18610
110	2311	18514
111	2334	18506
112	2354	18480
113	2372	18441
114	2390	18397
115	2408	18352
116	2427	18318
117	2445	18278
118	2469	18281
119	2499	18333
120	2525	18346
121	2549	18347
122	2564	18285
123	2586	18269
124	2606	18246
125	2626	18216
126	2645	18185
127	2665	18155
128	2685	18132
129	2707	18121
130	2729	18109
131	2749	18078
132	2768	18047
133	2787	18013
134	2805	17977
135	2829	17973
136	2845	17923
137	2871	17933
138	2899	17957
139	2911	17885
140	2923	17812
141	2944	17792
142	2967	17786
143	2978	17703
144	2996	17670
145	3016	17641
146	3028	17570
147	3045	17533
148	3065	17510
149	3076	17433
150	3096	17412
151	3106	17331
152	3118	17266
153	3137	17236
154	3157	17216
155	3181	17213
156	3200	17184
157	3208	17096
158	3222	17042
159	3235	16985
160	3261	16994
161	3291	17024
162	3316	17028
163	3335	17004
164	3354	16978
165	3364	16903
166	3385	16885
167	3406	16870
168	3429	16862
169	3434	16769
170	3455	16752
171	3468	16697
172	3489	16681
173	3505	16641
174	3529	16638
175	3551	16625
176	3571	16608
177	3582	16543
178	3602	16523
179	3624	16510
180	3645	16494
181	3668	16487
182	3681	16436
183	3705	16432
184	3730	16433
185	3753	16428
186	3787	16467
187	3827	16533
188	3853	16534
189	3865	16477
190	3884	16454
191	3903	16427
192	3923	16407
193	3934	16347
194	3959	16346
195	3974	16302
196	4008	16337
197	4050	16407
198	4078	16414
199	4101	16405
200	4117	16367
201	4132	16325
202	4143	16266
203	4166	16257
204	4179	16208
205	4204	16206
206	4230	16207
207	4260	16221
208	4286	16224
209	4306	16202
210	4327	16180
211	4337	16123
212	4352	16080
213	4388	16117
214	4434	16192
215	4459	16185
216	4489	16199
217	4512	16186
218	4539	16188
219	4563	16181
220	4585	16162
221	4605	16138
222	4625	16117
223	4643	16086
224	4663	16062
225	4682	16037
226	4705	16022
227	4730	16017
228	4760	16027
229	4786	16023
230	4809	16009
231	4839	16020
232	4866	16020
233	4892	16017
234	4912	15992
235	4938	15988
236	4964	15981
237	4990	15979
238	5004	15934
239	5029	15926
240	5060	15936
241	5095	15959
242	5109	15918
243	5146	15945
244	5179	15962
245	5203	15948
246	5232	15951
247	5257	15941
248	5281	15928
249	5309	15929
250	5331	15909
251	5359	15907
252	5377	15878
253	5395	15846
254	5413	15815
255	5432	15786
256	5450	15757
257	5471	15735
258	5491	15711
259	5519	15708
260	5548	15708
261	5576	15706
262	5602	15698
263	5635	15711
264	5664	15711
265	5685	15689
266	5717	15696
267	5752	15711
268	5782	15713
269	5810	15708
270	5824	15668
271	5851	15660
272	5872	15639
273	5892	15613
274	5913	15591
275	5937	15574
276	5959	15553
277	5979	15528
278	5990	15480
279	6012	15460
280	6038	15449
281	6063	15439
282	6088	15425
283	6118	15426
284	6157	15448
285	6185	15442
286	6208	15425
287	6239	15425
288	6267	15420
289	6291	15402
290	6317	15392
291	6346	15387
292	6376	15387
293	6410	15395
294	6436	15383
295	6459	15363
296	6490	15363
297	6521	15363
298	6555	15369
299	6575	15342
300	6596	15317
301	6614	15288
302	6635	15264
303	6654	15236
304	6673	15207
305	6692	15177
306	6712	15152
307	6734	15130
308	6754	15104
309	6773	15075
310	6794	15051
311	6812	15022
312	6833	14997
313	6855	14978
314	6877	14956
315	6900	14936
316	6921	14912
317	6944	14892
318	6968	14877
319	6994	14863
320	7021	14852
321	7048	14841
322	7074	14827
323	7094	14802
324	7116	14779
325	7137	14756
326	7158	14732
327	7180	14711
328	7199	14683
329	7218	14656
330	7239	14632
331	7258	14605
332	7280	14582
333	7303	14563
334	7331	14553
335	7355	14536
336	7376	14511
337	7403	14499
338	7430	14489
339	7454	14471
340	7475	14447
341	7495	14421
342	7514	14393
343	7533	14365
344	7557	14348
345	7583	14334
346	7614	14329
347	7645	14324
348	7665	14297
349	7684	14270
350	7711	14257
351	7740	14250
352	7770	14242
353	7796	14226
354	7815	14199
355	7836	14175
356	7857	14151
357	7877	14127
358	7898	14103
359	7921	14082
360	7942	14058
361	7962	14032
362	7980	14003
363	8000	13979
364	8021	13954
365	8042	13931
366	8062	13905
367	8080	13876
368	8101	13853
369	8122	13830
370	8144	13808
371	8164	13783
372	8183	13755
373	8203	13731
374	8225	13708
375	8244	13682
376	8265	13659
377	8283	13630
378	8306	13610
379	8334	13598
380	8361	13583
381	8383	13562
382	8410	13549
383	8430	13523
384	8453	13503
385	8471	13476
386	8491	13450
387	8511	13425
388	8530	13398
389	8552	13377
390	8572	13352
391	8603	13344
392	8626	13324
393	8654	13311
394	8686	13304
395	8717	13297
396	8757	13301
397	8778	13277
398	8801	13257
399	8822	13234
400	8844	13211
401	8870	13195
402	8890	13170
403	8919	13158
404	8940	13134
405	8958	13107
406	8977	13080
407	8997	13054
408	9014	13026
409	9035	13002
410	9056	12978
411	9077	12955
412	9103	12939
413	9127	12920
414	9153	12903
415	9177	12883
416	9197	12858
417	9215	12831
418	9234	12804
419	9252	12777
420	9270	12750
421	9288	12722
422	9313	12704
423	9332	12678
424	9352	12653
425	9373	12629
426	9392	12604
427	9417	12585
428	9446	12573
429	9474	12559
430	9496	12537
431	9529	12529
432	9564	12524
433	9603	12524
434	9622	12498
435	9646	12478
436	9671	12459
437	9705	12452
438	9727	12430
439	9748	12407
440	9769	12383
441	9789	12358
442	9808	12332
443	9827	12306
444	9846	12280
445	9870	12260
446	9896	12242
447	9916	12218
448	9938	12196
449	9961	12174
450	9997	12169
451	10034	12165
452	10057	12144
453	10080	12123
454	10100	12098
455	10125	12079
456	10144	12053
457	10161	12025
458	10181	12000
459	10199	11972
460	10216	11945
461	10236	11920
462	10254	11893
463	10277	11871
464	10301	11852
465	10324	11831
466	10353	11816
467	10377	11796
468	10405	11781
